case_key,hv_export_line_km,export_road_km,fibre_km,conventional_export_reference_low_cad,conventional_export_reference_high_cad,fibre_funding_proxy_low_cad,fibre_funding_proxy_high_cad,remaining_unpriced_kristal_budget_conservative_cad,remaining_unpriced_kristal_budget_optimistic_cad
hv200_road10_fibre250,200,10,250,618213098.09,1003603544.1,21280577.97,52295623.46,565917474.63,982322966.12
hv200_road10_fibre500,200,10,500,618213098.09,1003603544.1,42561155.95,104591246.92,513621851.17,961042388.15
hv200_road10_fibre933,200,10,933,618213098.09,1003603544.1,79419117.0,195167266.76,423045831.33,924184427.1
hv200_road25_fibre100,200,25,100,657150057.3,1053665348.8,8512231.19,20918249.38,636231807.91,1045153117.61
hv200_road25_fibre250,200,25,250,657150057.3,1053665348.8,21280577.97,52295623.46,604854433.84,1032384770.82
hv200_road25_fibre500,200,25,500,657150057.3,1053665348.8,42561155.95,104591246.92,552558810.38,1011104192.85
hv200_road25_fibre933,200,25,933,657150057.3,1053665348.8,79419117.0,195167266.76,461982790.54,974246231.8
hv200_road50_fibre100,200,50,100,722044989.31,1137101689.96,8512231.19,20918249.38,701126739.93,1128589458.77
hv200_road50_fibre250,200,50,250,722044989.31,1137101689.96,21280577.97,52295623.46,669749365.85,1115821111.98
hv200_road50_fibre500,200,50,500,722044989.31,1137101689.96,42561155.95,104591246.92,617453742.39,1094540534.01
hv200_road50_fibre933,200,50,933,722044989.31,1137101689.96,79419117.0,195167266.76,526877722.56,1057682572.96
hv200_road100_fibre100,200,100,100,851834853.34,1303974372.28,8512231.19,20918249.38,830916603.96,1295462141.09
hv200_road100_fibre250,200,100,250,851834853.34,1303974372.28,21280577.97,52295623.46,799539229.88,1282693794.31
hv200_road100_fibre500,200,100,500,851834853.34,1303974372.28,42561155.95,104591246.92,747243606.42,1261413216.33
hv200_road100_fibre933,200,100,933,851834853.34,1303974372.28,79419117.0,195167266.76,656667586.59,1224555255.28
